example_id                                                    | status | run_time        |
------------------------------------------------------------- | ------ | --------------- |
./spec/models/availability_window_spec.rb[1:1:1]              | passed | 0.00075 seconds |
./spec/models/availability_window_spec.rb[1:2:1]              | passed | 0.00184 seconds |
./spec/models/availability_window_spec.rb[1:2:2]              | passed | 0.00199 seconds |
./spec/models/availability_window_spec.rb[1:2:3]              | passed | 0.00146 seconds |
./spec/models/availability_window_spec.rb[1:2:4]              | passed | 0.00357 seconds |
./spec/models/availability_window_spec.rb[1:3:1]              | passed | 0.0006 seconds  |
./spec/models/availability_window_spec.rb[1:3:2]              | passed | 0.00075 seconds |
./spec/models/availability_window_spec.rb[1:4:1]              | passed | 0.00047 seconds |
./spec/models/availability_window_spec.rb[1:4:2]              | passed | 0.00045 seconds |
./spec/models/availability_window_spec.rb[1:5:1]              | passed | 0.00086 seconds |
./spec/models/availability_window_spec.rb[1:5:2]              | passed | 0.00112 seconds |
./spec/models/availability_window_spec.rb[1:6:1]              | passed | 0.00055 seconds |
./spec/models/availability_window_spec.rb[1:6:2]              | passed | 0.00066 seconds |
./spec/models/availability_window_spec.rb[1:7:1]              | passed | 0.00069 seconds |
./spec/models/availability_window_spec.rb[1:7:2]              | passed | 0.00054 seconds |
./spec/models/availability_window_spec.rb[1:8:1]              | passed | 0.0038 seconds  |
./spec/models/availability_window_spec.rb[1:8:2]              | passed | 0.00179 seconds |
./spec/models/availability_window_spec.rb[1:8:3]              | passed | 0.00368 seconds |
./spec/models/availability_window_spec.rb[1:9:1:1]            | passed | 0.0015 seconds  |
./spec/models/availability_window_spec.rb[1:9:1:2]            | passed | 0.00085 seconds |
./spec/models/availability_window_spec.rb[1:9:1:3]            | passed | 0.14038 seconds |
./spec/models/clinician_credentialed_insurance_spec.rb[1:1:1] | passed | 0.00099 seconds |
./spec/models/clinician_credentialed_insurance_spec.rb[1:1:2] | passed | 0.00068 seconds |
./spec/models/clinician_credentialed_insurance_spec.rb[1:2:1] | passed | 0.00134 seconds |
./spec/models/clinician_credentialed_insurance_spec.rb[1:2:2] | passed | 0.00163 seconds |
./spec/models/clinician_credentialed_insurance_spec.rb[1:2:3] | passed | 0.02898 seconds |
./spec/models/clinician_credentialed_insurance_spec.rb[1:3:1] | passed | 0.00576 seconds |
./spec/models/clinician_credentialed_insurance_spec.rb[1:3:2] | passed | 0.00808 seconds |
./spec/models/clinician_credentialed_insurance_spec.rb[1:3:3] | passed | 0.0128 seconds  |
./spec/models/contract_spec.rb[1:1:1]                         | passed | 0.00148 seconds |
./spec/models/contract_spec.rb[1:1:2]                         | passed | 0.00274 seconds |
./spec/models/contract_spec.rb[1:2:1]                         | passed | 0.05889 seconds |
./spec/models/contract_spec.rb[1:3:1]                         | passed | 0.01126 seconds |
./spec/models/contract_spec.rb[1:3:2]                         | passed | 0.01477 seconds |
./spec/models/contract_spec.rb[1:3:3]                         | passed | 0.01611 seconds |
./spec/models/contract_spec.rb[1:4:1]                         | passed | 0.00082 seconds |
./spec/models/contract_spec.rb[1:4:2]                         | passed | 0.00078 seconds |
./spec/models/contract_spec.rb[1:4:3]                         | passed | 0.00064 seconds |
./spec/models/contract_spec.rb[1:5:1]                         | passed | 0.00073 seconds |
./spec/models/contract_spec.rb[1:5:2]                         | passed | 0.0005 seconds  |
./spec/models/contract_spec.rb[1:6:1]                         | passed | 0.00073 seconds |
./spec/models/contract_spec.rb[1:6:2]                         | passed | 0.00056 seconds |
./spec/models/contract_spec.rb[1:7:1]                         | passed | 0.00073 seconds |
./spec/models/contract_spec.rb[1:7:2]                         | passed | 0.04391 seconds |
